priority,data_type,source_name,url,geography_aoi,official_status,acquisition_or_delivery_date,version,license_or_terms,candidate_or_scene_count,coverage_notes,use_case,should_use_for_vlm,blockers,recommended_next_step,supported_by,confidence
P0,official_activation_api,Copernicus EMSR884 public activations API,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR884,All EMSR884 AOIs,official_ems,live,live,Copernicus EMS terms,1 activation,Authoritative AOI/product/version source,Freshness and source-of-record manifest,no,Must save raw snapshot and parse all products,Save raw JSON with timestamp and extract manifest,Perplexity deep research; Perplexity search; ChatGPT; local verification,high
P0,official_activation_page,Copernicus EMSR884 activation page,https://mapping.emergency.copernicus.eu/activations/EMSR884/,All EMSR884 AOIs,official_ems,live,live,Copernicus EMS terms,activation page,Human-facing activation entrypoint,Source verification,no,Page is JS shell; use backend API for data,Keep as public citation and compare to API,All agents,high
P0,official_docs,Copernicus emergency response data harvesting docs,https://mapping.emergency.copernicus.eu/about/how-to-harvest-cems-mapping-data/emergency-response-data/,All CEMS products,official_ems,n/a,n/a,Copernicus EMS terms,n/a,Explains API fields and data use,Implementation reference,no,None,Use for parser semantics and citation,ChatGPT,high
P0,official_docs,Copernicus product overview docs,https://mapping.emergency.copernicus.eu/about/rapid-mapping-manual/product-overview/what-is-delivered-in-a-product/,All CEMS products,official_ems,n/a,n/a,Copernicus EMS terms,n/a,Explains product versions and deliveries,Versioning policy,no,None,Use for remap/version policy,ChatGPT,high
P0,official_api,Copernicus public activations info API,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/,All CEMS activations,official_ems,live,live,Copernicus EMS terms,unknown,Supplemental activation information,Metadata discovery,no,Need schema check,Inspect if product API misses fields,ChatGPT,medium
P0,official_post_event_cog,AOI02 Caracas Pleiades Neo COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,AOI02 Caracas,official_ems,2026-06-25T14:59,local catalog v1 binding,Copernicus EMS terms,1 COG,Known post-event official optical COG,After chip source,conditional,Bind to latest product version and validate COG/range,Add to official_imagery_manifest.csv,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI03 Antimano Legion COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI03/GRA_PRODUCT/EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO_cog.tif,AOI03 Antimano,official_ems,2026-06-25T15:17,local catalog imagery-only,Copernicus EMS terms,1 COG,Post-event image exists but no official damage vector,After chip source for internal candidates,conditional,Need pre-event and candidate footprints; no official polygons,Validate COG and bind to imagery-only AOI,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI05 Santa Cruz WorldView-3 COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO_cog.tif,AOI05 Santa Cruz,official_ems,2026-06-26T15:10,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need suitable high-res before imagery and official geometry treatment,Validate and add to manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI06 Moron Legion COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO_cog.tif,AOI06 Moron,official_ems,2026-06-25T20:36,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need high-res before coverage and latest MONIT inventory,Validate and add to manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI08 San Felipe Pleiades Neo COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO_cog.tif,AOI08 San Felipe,official_ems,2026-06-25T15:00,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need high-res before coverage and MONIT v2 check,Validate and add to manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI10 Guacara Pleiades Neo COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI10/GRA_PRODUCT/EMSR884_AOI10_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,AOI10 Guacara,official_ems,2026-06-25T14:59,imagery-only,Copernicus EMS terms,1 COG,Post-event image exists but no official damage vector,After chip source for internal candidates,conditional,Need pre-event and candidate footprints,Validate and add to imagery manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI12 Caraballeda Legion COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_LEGION_20260626_1510_ORTHO_cog.tif,AOI12 Caraballeda,official_ems,2026-06-26T15:10,AOI12 product v2 needs binding,Copernicus EMS terms,1 COG,Known post-event COG but official vector product changed to v2,After chip source,conditional,AOI12 v1/v2 remap required,Bind COG to latest product and remap features before VLM,All agents; local verification,high
P0,official_zip,AOI02 MONIT01 ZIP,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_v1.zip,AOI02 Caracas,official_ems,local v1; live update reported,v1 locally; live may be v2,Copernicus EMS terms,20 local points,Monitoring points not builtUpA polygons,Official monitoring evidence,conditional,Latest version and point semantics need validation,Download latest from API and keep separate from GRA polygons,ChatGPT; local catalog,high
P0,official_zip,AOI05 GRA PRODUCT ZIP,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_v1.zip,AOI05 Santa Cruz,official_ems,2026-06-27T23:49:49,v1,Copernicus EMS terms,3 local features,Official points/product data,Official source,no broad VLM yet,Need imagery/before coverage and layer semantics,Parse layer inventory and keep source separate,ChatGPT; local catalog,high
P0,official_zip,AOI06 MONIT01 ZIP,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_v1.zip,AOI06 Moron,official_ems,local v1; live update reported,v1 locally; live may be v2,Copernicus EMS terms,96 local points,Monitoring points separate from GRA polygons,Official monitoring evidence,conditional,Latest version and point semantics need validation,Download latest from API and keep separate,ChatGPT; local catalog,high
P0,official_zip,AOI08 MONIT01 ZIP,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_v1.zip,AOI08 San Felipe,official_ems,local v1; live update reported,v1 locally; live may be v2,Copernicus EMS terms,183 local points,Monitoring points separate from GRA polygons,Official monitoring evidence,conditional,Latest version and point semantics need validation,Download latest from API and keep separate,ChatGPT; local catalog,high
P0,official_zip,AOI12 MONIT01 ZIP,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_v1.zip,AOI12 Caraballeda,official_ems,2026-06-27T18:17:36,v1,Copernicus EMS terms,1004 local points,Monitoring points separate from GRA polygons,Official monitoring evidence,conditional,Keep separate from AOI12 GRA v2 polygons,Parse and catalog separately,ChatGPT; local catalog,high
P1,pre_event_imagery,Vantor scene B160001100FD1910,https://vantor-opendata.s3.amazonaws.com/events/Venezuela-Earthquake-Jun-2026/B160001100FD1910.tif,AOI02/AOI03 coverage candidate,public_reference,2026-03-20T14:46:55,scene,CC BY-NC 4.0,1 scene,Known before/reference source used locally,Before chip source,conditional,Non-commercial terms and coverage QA,Add to pre_event_imagery_manifest.csv,Perplexity deep research; ChatGPT; local catalog,high
P1,pre_event_imagery,Vantor scene B130001101BE2A00,https://vantor-opendata.s3.amazonaws.com/events/Venezuela-Earthquake-Jun-2026/B130001101BE2A00.tif,AOI12 mosaic candidate,public_reference,pre-event,scene,CC BY-NC 4.0,1 scene,Known AOI12 mosaic candidate,Before chip source,conditional,Non-commercial terms and valid-pixel QA,Add to pre_event_imagery_manifest.csv,ChatGPT; local catalog,high
P1,pre_event_imagery,Vantor scene B160001100FF4510,https://vantor-opendata.s3.amazonaws.com/events/Venezuela-Earthquake-Jun-2026/B160001100FF4510.tif,AOI12 mosaic candidate,public_reference,pre-event,scene,CC BY-NC 4.0,1 scene,Known AOI12 mosaic candidate,Before chip source,conditional,Non-commercial terms and valid-pixel QA,Add to pre_event_imagery_manifest.csv,ChatGPT; local catalog,high
P1,pre_event_imagery,Vantor scene B120001100513B10,https://vantor-opendata.s3.amazonaws.com/events/Venezuela-Earthquake-Jun-2026/B120001100513B10.tif,AOI12 mosaic candidate,public_reference,pre-event,scene,CC BY-NC 4.0,1 scene,Known AOI12 mosaic candidate,Before chip source,conditional,Non-commercial terms and valid-pixel QA,Add to pre_event_imagery_manifest.csv,ChatGPT; local catalog,high
P1,pre_event_imagery,Vantor scene 10400100B979DD00,https://vantor-opendata.s3.amazonaws.com/events/Venezuela-Earthquake-Jun-2026/10400100B979DD00.tif,AOI12 mosaic candidate,public_reference,pre-event,scene,CC BY-NC 4.0,1 scene,Known AOI12 mosaic candidate,Before chip source,conditional,Non-commercial terms and valid-pixel QA,Add to pre_event_imagery_manifest.csv,ChatGPT; local catalog,high
P1,imagery_release,Vantor public release social reference,https://x.com/vantortech/status/2070496092131569833,Venezuela earthquake imagery,public_reference,2026 event,collection,CC BY-NC 4.0 reported,collection,Source announcement for Vantor open data,Reference only,no,Need canonical STAC/S3 inventory,Use only to locate official bucket/STAC references,Perplexity deep research,medium
P1,imagery_context,Revolutionary GIS imagery note,https://revolutionarygis.wordpress.com/2026/06/26/venezuela-earthquake-imagery/,Venezuela earthquake imagery,public_reference,2026-06-26,article,site terms,n/a,Context/source discovery,Reference only,no,Secondary blog source,Use only for source discovery,Perplexity deep research,medium
P1,response_portal,HOT Venezuela earthquake response page,https://www.hotosm.org/en/projects/2026-venezuela-earthquake-response/,Venezuela response areas,public_reference,active 2026 response,evolving,mixed; OSM ODbL and source-specific,31k buildings reported by HOT,Footprints/validation/source discovery,Candidate footprints and validation,conditional,Need actual exports and licensing per linked source,Export OSM/HOT candidate footprints by AOI,Perplexity search; ChatGPT; Claude,high
P1,external_prediction,Microsoft AI4G Catia La Mar dataset page,https://data.humdata.org/dataset/venezuela-earthquakes-catia-la-mar,Catia La Mar,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,9134 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need schema/license/dedupe,Parse GPKG fields and dedupe against EMS/external,ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G Catia La Mar GPKG,https://data.humdata.org/dataset/029efb88-3a8a-40d9-8aea-65477e6eb744/resource/684fdeab-e4ac-4029-9ec9-891676b2ebfc/download/predicted_damage_catia_la_mar_footprints.gpkg,Catia La Mar,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,9134 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need schema/license/dedupe,Parse and keep external only,ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G Caraballeda dataset page,https://data.humdata.org/dataset/venezuela-earthquakes-building-damage-assessment-in-caraballeda,Caraballeda East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,622 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Overlap with AOI12 official and stale v1/v2 needs review,Parse and dedupe before VLM,Perplexity search; ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G Caraballeda GPKG,https://data.humdata.org/dataset/1a77bd9c-5170-4651-92c2-0dd42cdc303e/resource/d82d36cf-e728-4f03-b8a8-7615d05a8374/download/caraballeda_east_vantor_6-26_building_predictions_merged.gpkg,Caraballeda East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,622 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Overlap with AOI12 official and stale v1/v2 needs review,Parse and dedupe before VLM,ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G East Catia La Mar dataset page,https://data.humdata.org/dataset/venezuela-earthquakes-building-damage-assessment-in-catia-la-mar-east,Catia La Mar East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,1209 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need dedupe with Catia La Mar and official sources,Parse and dedupe before VLM,Perplexity search; ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G East Catia La Mar GPKG,https://data.humdata.org/dataset/0c439581-b14d-4092-a104-95b5abee3002/resource/2034c971-e8ac-431d-acaa-e1c94d601039/download/predicted_damage_east-catia-la-mar-skysat-final.gpkg,Catia La Mar East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,1209 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need dedupe with Catia La Mar and official sources,Parse and dedupe before VLM,ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G La Guaira dataset page,https://data.humdata.org/dataset/venezuela-earthquakes-building-damage-assessment-in-la-guaira,La Guaira East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,119 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need dedupe and AOI overlap analysis,Parse and dedupe before VLM,Perplexity search; ChatGPT; local catalog,high
P1,external_prediction,Microsoft AI4G La Guaira GPKG,https://data.humdata.org/dataset/0b1912ea-20d1-4f32-8232-f2631d1a639d/resource/d07fc3f8-885f-46f4-bd8e-03ac92fd5b00/download/predicted_damage_la-guaira-east-blacksky-06-25-model-337_filtered.gpkg,La Guaira East,external_prediction,2026 response,dataset,HDX/Microsoft terms; likely CC BY 4.0,119 loaded candidates locally,External building damage predictions,Triage candidates,conditional,Need dedupe and AOI overlap analysis,Parse and dedupe before VLM,ChatGPT; local catalog,high
P1,external_prediction,HOTOSM Venezuela EQ 2026 Hugging Face dataset,https://huggingface.co/datasets/hotosm/venezuela_eq_2026,Caracas; La Guaira; Catia La Mar; Caraballeda; Naiguata,external_prediction,2026-06-27,dataset,mixed: fAIr non-commercial share-alike; Microsoft CC BY 4.0; OSU/CUNY citation required,source-specific counts reported in card,Multi-source prediction/validation package,Triage and calibration sampling,conditional,Mixed licenses and source families,Inventory by source family before any use,Perplexity search; ChatGPT; Perplexity deep research,high
P1,sar_context,NASA Earthdata OSU/CUNY Sentinel-1 likelihood package,https://gis.earthdata.nasa.gov/portal/home/item.html?id=0c3d77dd5aae46e4829d9a282477615c,Venezuela earthquake area,context_only,2026 response,experimental,citation-required/experimental,unknown,SAR likelihood/context product,Area prioritization,no,Experimental and not direct building evidence,Inventory footprint/schema and keep context-only,Perplexity search; ChatGPT,medium
P1,sar_context,Copernicus Sentinel-1 data collection,https://dataspace.copernicus.eu/data-collections/copernicus-sentinel-missions/sentinel-1,Regional,context_only,n/a,n/a,Copernicus Sentinel terms,unknown,SAR source reference,Context and GRM support,no,Not building-level VLM evidence,Use for Sentinel-1 scene metadata where needed,Perplexity deep research,medium
P1,human_reference,VOSOCC reference link,https://vosocc.unocha.org/Report.aspx?page=FOaxxxplusc90yEam9aiSkfREX3Axxxequalxxxequal,Affected areas,context_only,2026 response,source-specific,permission unknown,unknown,Potential rescue/sector map reference,Human adjudication,no,Login/permission/georeference unknown,Inventory permission and georeferencing,Perplexity deep research,medium
P1,coordination_context,GDACS event page,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1548377,Regional earthquake context,context_only,2026-06-24,event page,GDACS terms,n/a,Event context only,Context,no,Not building damage data,Keep as context only,Perplexity search,medium
P2,context_only,iMMAP rapid impact map,https://immap.org/publications-and-resources/venezuela-earthquake-impact-map-24th-june-2026,Regional Venezuela,context_only,2026 response,static map,iMMAP terms,n/a,Population/exposure context,Context,no,Not building-level data,Do not use for VLM candidate selection,Perplexity search,medium
P2,secondary_visualization,YIN-Renlong Copernicus dashboard repo,https://github.com/YIN-Renlong/venezuela-earthquake-copernicus-data-dashboard-2026,EMSR884,public_reference,2026 response,repo,GitHub project terms,unknown,Potential mirror/dashboard,Source discovery,no,Secondary/non-authoritative,Use only if official API unavailable,Perplexity deep research,low
P2,secondary_reference,Kevin White LinkedIn AI4G post,https://www.linkedin.com/posts/kevin-white-9084b73_venezuela-disasterresponse-damageassessment-activity-7476156575817302016-qEPu,Microsoft AI4G context,context_only,2026 response,social post,LinkedIn terms,n/a,Source discovery/context,Reference,no,Not data endpoint,Use only to locate primary HDX data,Perplexity deep research; Perplexity search,low
P2,secondary_reference,GT Corbett LinkedIn post,https://www.linkedin.com/posts/gtcorbett_venezuela-earthquake-activity-7476370310238318593-z07x,Microsoft AI4G context,context_only,2026 response,social post,LinkedIn terms,n/a,Source discovery/context,Reference,no,Not data endpoint,Use only to locate primary HDX data,Perplexity search,low
P2,secondary_reference,Vantor LinkedIn post,https://www.linkedin.com/posts/vantortech_vantor-has-activated-its-open-data-program-activity-7476261311316832256-5vXE,Vantor open data context,context_only,2026 response,social post,LinkedIn terms,n/a,Source discovery/context,Reference,no,Not canonical data endpoint,Use only to locate official Vantor open data,Perplexity search,low
P2,local_remote_catalog,Raw GitHub public catalog,https://raw.githubusercontent.com/takove/crisis-damage-intelligence/main/public/data/catalog.json,Current app,public_reference,2026-06-29 snapshot,repo snapshot,repo/data source terms,mixed,Local public state snapshot,Staleness comparison,no,May be stale versus live Copernicus,Use only as local state; refresh from live source,ChatGPT; local catalog,high
P0,human_validated_damage,HOT human-validated damage assessment data,https://www.hotosm.org/en/projects/2026-venezuela-earthquake-response/,"Caraballeda; La Guaira; Caracas",external_validation,active 2026 response,evolving,mixed source-specific,637 validated areas reported,MapSwipe/HOT validation for EMS-gap triage,Visual gap adjudication and sample prioritization,conditional,Need linked HDX export and license per layer,Fetch linked validated dataset and overlap with EMS GRA/MONIT,live web verification 2026-07-01,high
P0,external_prediction,HOTOSM Venezuela EQ 2026 Hugging Face dataset,https://huggingface.co/datasets/hotosm/venezuela_eq_2026,"Caracas; La Guaira; Catia La Mar; Caraballeda; Naiguata",external_prediction,2026 response,dataset,"fAIr ODbL; Microsoft CC-BY 4.0; OSU/CUNY citation-required; imagery source-specific",242 MB,Source-family split for fAIr Microsoft OSU combined and validated outputs,EMS-gap triage and calibration sampling,conditional,Mixed licenses and H3 vs building output semantics,Download manifest/source.json files and split by source family before use,live web verification 2026-07-01,high
P0,pre_post_imagery,Vantor/OpenAerialMap imagery release via HOT,https://wiki.openstreetmap.org/wiki/Humanitarian_OSM_Team/Open_Mapping_Hub_-_Latin_America_and_The_Caribbean/Activations/2026_Venezuela_Earthquake,Venezuela response areas,public_reference,2025-11 to 2026-06-29,collection,CC-BY-NC-4.0,49 pre/post images reported by HOT,High-resolution imagery for before/after chip generation,Before/after VLM evidence source,conditional,Non-commercial terms; cloud/coverage gaps; need per-scene QA,Inventory OAM/STAC scenes and bind chips to source dates,live web verification 2026-07-01,high
P1,post_event_imagery,Planet post-event images via Source Cooperative,https://www.hotosm.org/en/projects/2026-venezuela-earthquake-response/,"Catia La Mar; Caraballeda and broader affected areas",public_reference,2026 response,collection,CC-BY-NC-4.0,collection,Post-event image source referenced by HOT and HOT HF dataset,Post-event evidence and visual gap review,conditional,Need direct Source Cooperative paths and license confirmation; no OSM-editing clause noted,Inventory scene URLs and use only where license permits,live web verification 2026-07-01,medium
